postive,neutral,negative,sentence_length,TTR,person_count,she_pronoun,he_pronoun,ease_of_readability,class
0.154,0.733,0.114,6016,0.874756396506599,153,263,360,79.37,2
0.136,0.755,0.10800000000000000,1801,0.851070101688932,90,83,157,65.38,2
0.145,0.753,0.102,5530,0.861862444187063,160,165,404,78.46,4
0.151,0.7660000000000000,0.083,3045,0.854972901812576,90,240,223,79.42,2
0.172,0.75,0.079,3093,0.8747563865071430,123,215,128,81.79,2
0.156,0.753,0.092,8196,0.871458845160116,204,205,289,83.59,2
0.135,0.78,0.085,3247,0.867740589021029,127,121,211,80.79,2
0.139,0.7660000000000000,0.095,4266,0.850350170910523,107,142,220,78.83,2
0.149,0.743,0.10800000000000000,933,0.859704738085952,63,45,101,77.43,2
0.147,0.7490000000000000,0.10400000000000000,1609,0.854913412559208,48,42,106,82.7,2
0.157,0.7440000000000000,0.1,663,0.858789672061179,41,37,52,80.63,2
0.179,0.701,0.12,10564,0.883121990953881,214,352,437,82.31,2
0.138,0.7240000000000000,0.138,6001,0.899765506464969,188,71,243,59.06,2
0.11200000000000000,0.81,0.078,372,0.84638491357084,27,21,61,70.9,2
0.138,0.76,0.102,1513,0.857327834542192,62,20,169,77.03,2
0.16900000000000000,0.745,0.086,819,0.867052827738643,35,54,67,80.45,2
0.129,0.754,0.11700000000000000,1217,0.869065679003404,98,58,106,81.01,2
0.12300000000000000,0.7830000000000000,0.094,2469,0.8542239380180850,132,26,183,79.61,2
0.134,0.77,0.096,8970,0.859559350948919,402,202,430,80.31,2
0.11600000000000000,0.773,0.111,618,0.852691606278633,43,17,78,79.3,2
0.14400000000000000,0.77,0.087,2779,0.877235838771688,154,168,102,82.36,2
0.147,0.759,0.094,639,0.85316181391357,70,66,74,56.1,2
0.12,0.763,0.11800000000000000,3084,0.86401315432224,107,101,179,82.91,2
0.127,0.784,0.08900000000000000,7386,0.870182145167227,100,146,295,82.94,1
0.166,0.7340000000000000,0.1,3661,0.877209996127828,133,193,205,82.34,3
