postive,neutral,negative,sentence_length,TTR,person_count,she_pronoun,he_pronoun,ease_of_readability,class
0.162,0.737,0.10099999999999999,9538,0.8717210769164144,119,334,289,85.85,5
0.12,0.7979999999999999,0.08199999999999999,4465,0.8381531568449534,645,154,302,61.35,5
0.147,0.785,0.068,5118,0.8618267001401997,106,240,264,82.94,5
0.133,0.7659999999999999,0.10099999999999999,4433,0.8585744212570338,79,165,154,80.69,5
0.149,0.747,0.10400000000000001,3791,0.8751738266000237,369,184,296,77.32,5
0.15,0.75,0.1,5668,0.8624272886509654,125,107,260,85.37,5
0.187,0.6859999999999999,0.126,1164,0.8742128392321336,66,58,62,81.34,5
0.184,0.695,0.121,1285,0.8637371000981173,45,93,66,91.0,5
0.213,0.691,0.096,1473,0.8632741934254797,43,154,89,80.69,5
0.171,0.6940000000000001,0.135,1397,0.8507122573713428,26,92,50,90.82,5
0.159,0.735,0.106,2326,0.8655819434134102,130,213,174,74.84,5
0.14300000000000002,0.7609999999999999,0.096,6656,0.8599327326161493,360,452,456,85.1,5
0.172,0.746,0.081,10204,0.8737667801567193,385,434,397,80.32,5
0.172,0.726,0.102,319,0.8589219953910503,23,3,13,90.73,5
0.124,0.7909999999999999,0.085,7441,0.8585952220477951,329,478,506,85.24,5
0.158,0.762,0.08,4888,0.8744379862031729,140,143,355,71.26,5
0.18100000000000002,0.74,0.079,10228,0.8771590908048902,463,319,486,80.79,5
0.122,0.757,0.122,10030,0.8723815910871568,331,333,387,83.49,5
0.165,0.742,0.092,6110,0.872464529604287,132,141,303,82.91,5
0.156,0.7290000000000001,0.115,10237,0.8797333641861116,402,366,479,81.12,5
0.126,0.7879999999999999,0.086,5603,0.8709515721078894,167,129,390,81.32,5
0.16699999999999998,0.736,0.09699999999999999,13216,0.8708947419880587,347,400,493,80.51,5
0.14300000000000002,0.764,0.09300000000000001,1590,0.8601449849062696,45,92,122,82.22,5
0.168,0.731,0.10099999999999999,4238,0.8749852012552094,237,192,350,76.57,5
0.158,0.752,0.091,1440,0.8643915609452424,91,120,184,74.3,5
0.124,0.785,0.091,3847,0.8608596707183287,138,181,280,75.57,5
0.157,0.721,0.122,7169,0.8768467354785212,227,235,181,84.08,5
0.185,0.727,0.08800000000000001,1359,0.8604623286487477,40,97,113,83.21,0
0.179,0.7340000000000001,0.08800000000000001,8525,0.8712193348064148,347,283,396,68.91,5
0.193,0.716,0.091,2445,0.8543510518423825,135,66,75,87.63,5
0.157,0.71,0.133,3343,0.8660109103682031,102,146,154,82.4,5
0.13699999999999998,0.759,0.10400000000000001,9886,0.861929365913584,384,382,316,78.29,5
0.15,0.726,0.124,10754,0.8682578548152243,325,371,376,82.67,5
0.14400000000000002,0.77,0.086,9338,0.8683018690083949,261,293,342,79.54,5
0.161,0.721,0.11800000000000001,10964,0.8699527713824681,184,491,369,85.08,5
0.115,0.807,0.078,5208,0.861423253906657,300,355,320,88.98,5
0.14400000000000002,0.777,0.079,3459,0.8495812748264449,119,123,242,78.39,5
0.157,0.763,0.08,8643,0.8700806307826509,337,383,530,80.66,5
0.134,0.762,0.105,3218,0.8641988246466675,140,83,334,73.28,5
0.153,0.735,0.11199999999999999,4713,0.8745105361411456,125,163,351,68.79,5
0.161,0.73,0.109,5785,0.8638532119139826,93,222,201,92.46,5
0.16899999999999998,0.6890000000000001,0.142,1161,0.8604068486410655,43,49,101,75.3,5
0.126,0.784,0.08900000000000001,8120,0.8684181060805041,274,215,308,81.57,5
0.128,0.7809999999999999,0.091,7557,0.8636596007552504,175,318,502,76.7,5
0.16699999999999998,0.721,0.111,2935,0.8641774628462529,114,173,118,69.74,5
0.179,0.73,0.091,5115,0.8688196765200241,232,180,255,82.27,5
0.157,0.742,0.10099999999999999,9107,0.8775130970384725,205,365,344,82.19,6
0.124,0.804,0.07200000000000001,7560,0.8661938639437136,317,107,272,91.39,5
0.195,0.6940000000000001,0.111,1141,0.8850161926770628,152,118,172,75.35,5
0.162,0.742,0.096,6234,0.8735261925413862,196,150,339,82.94,5
0.136,0.76,0.10400000000000001,5821,0.8756567819056557,318,376,486,79.32,5
0.13699999999999998,0.731,0.132,3358,0.860626801445965,69,192,273,75.58,5
0.159,0.741,0.1,4356,0.8764533809293558,143,211,342,80.36,5
0.14800000000000002,0.75,0.10300000000000001,4971,0.8719668452366394,150,217,369,70.77,5
0.16,0.746,0.094,772,0.8662910190411395,31,42,74,83.01,5
0.141,0.759,0.10099999999999999,7025,0.8534287244474617,178,259,443,75.12,5
0.152,0.754,0.094,5141,0.8621048808053416,282,156,452,79.82,5
